Code,Name (日本語),Detail (日本語),Name (English),Detail (English),Name (Français),Detail (Français),Name (Korean),Detail (Korean),Name (Deutsch),Detail (Deutsch),Name (Italiano),Detail (Italiano)
242,山形県村山,山形市、寒河江市、上山市、村山市、天童市、東根市、尾花沢市、東村山郡、西村山郡及び北村山郡,Murayama Yamagata pref.,"Yamagata city, Sagae city, Kaminoyama city, Murayama city, Tendo city, Higashine city, Obanazawa city, Higashimurayama district, Nishimurayama district, and Kitamurayama district","préf. Yamagata, Murayama","villes de Yamagata, Sagae, Kaminoyama, Murayama, Tendo, Higashine et Obanawaza, districts de Higashimurayama, Nishimurayama et Kitamurayama",야마가타 현 무라야마 ,,,,"pref. Yamagata, Murayama","città di Yamagata, Sagae, Kaminoyama, Murayama, Tendo, Higashine e Obanawaza, distretti di Higashimurayama, Nishimurayama e Kitamurayama"
243,山形県置賜,米沢市、長井市、南陽市、東置賜郡及び西置賜郡,Okitama Yamagata pref.,"Yonezawa city, Nagai city, Nanyo city, Higashiokitama district, and Nishiokitama district","préf. Yamagata, Okitama","villes de Yonezawa, Nagai et Nanyo, districts de Higashiokitama et Nishiokitama",야마가타 현 오키 타마 ,,,,"pref. Yamagata, Okitama","città di Yonezawa, Nagai e Nanyo, distretti di Higashiokitama e Nishiokitama"
250,福島県中通り,福島市、郡山市、白河市、須賀川市、二本松市、田村市、伊達市、本宮市、伊達郡、安達郡、岩瀬郡、西白河郡、東白川郡、石川郡及び田村郡,Nakadori Fukushima pref.,"Fukusima city, Koriyama city, Shirakawa city, Sukagawa city, nihonmatsu city, Tamura city, Date city, Motomiya city, Date district, Adachi district, Iwase district, Nishishirakawa district, Higashishirakawa district, Ishikawa district, and Tamura district","préf. Fukushima, Nakadori","villes de Fukushima, Koriyama, Shirakawa, Sukagawa, Nihonmatsu, Tamura, Date et Motomiya, districts de Data, Adachi, Iwase, Nishishirakawa, Higashishirakawa, Ishikawa et Tamura",후쿠시마현 복잡한 거리 ,,,,"pref. Fukushima, Nakadori","città di Fukushima, Koriyama, Shirakawa, Sukagawa, Nihonmatsu, Tamura, Date e Motomiya, distretti di Data, Adachi, Iwase, Nishishirakawa, Higashishirakawa, Ishikawa e Tamura"
251,福島県浜通り,いわき市、相馬市、南相馬市、双葉郡及び相馬郡,Hamadori Fukushima pref.,"Iwaki city, Souma city, Minamisouma city, Futaba district, and Souma district","préf. Fukushima, Hamadori","villes d'Iwaki, Sôma et Minamisôma, districts de Futaba et Sôma",후쿠시마현 바닷가 거리 ,,,,"pref. Fukushima, Hamadori","città d'Iwaki, Sôma e Minamisôma, distretti di Futaba e Sôma"
252,福島県会津,会津若松市、喜多方市、南会津郡、耶麻郡、河沼郡及び大沼郡,Aizu Fukushima pref.,"Aizuwakamatsu city, Kitakata city, Minamiaizu district, Yama district, Kawanuma district, and Onuma district","préf. Fukushima, Aizu","villes de Aizuwakamatsu et Kitakata, districts de Minamiaizu, Yama, Kawanuma et Onuma",후쿠시마현 아이즈 ,,,,"pref. Fukushima, Aizu","città di Aizuwakamatsu e Kitakata, distretti di Minamiaizu, Yama, Kawanuma e Onuma"
280,津軽海峡,,Tsugaru strait region,,détroit de Tsugaru,,쓰가루 해협 ,,,,stretto di Tsugaru,
281,山形県沖,,Off Yamagata pref.,,large de Yamagata,,야마가타 현 오키 ,,,,a largo di Yamagata,
282,秋田県沖,,Off Akita pref.,,large d'Akita,,아키타현 바다 ,,,,a largo di Akita,
283,青森県西方沖,,E off Aomori pref.,,E large d'Aomori,,아오모리현 서방 바다 ,,,,E a largo di Aomori,
284,陸奥湾,,Mutsu bay area,,baie de Mutsu,,무쓰 만 지역,,,,baia di Mutsu,
285,青森県東方沖,,E off Aomori pref.,,E large d'Aomori,,아오모리현 동방 바다 ,,,,E a largo di Aomori,
286,岩手県沖,,Off Iwate pref.,,large d'Iwate,,이와테현 연안 ,,,,a largo di Iwate,
287,宮城県沖,,Off Miyagi pref.,,large de Miyagi,,미야기현 앞바 다 ,,,,a largo di Miyagi,
288,三陸沖,,Off Sanriku,,large de Sanriku,,산리 쿠 ,,,,a largo di Sanriku,
289,福島県沖,,Off Fukushima pref.,,large de Fukushima,,후쿠시마현 앞바다,,,,a largo di Fukushima,
300,茨城県北部,水戸市、日立市、常陸太田市、高萩市、北茨城市、笠間市、ひたちなか市、常陸大宮市、那珂市、小美玉市、東茨城郡、那珂郡及び久慈郡,Northern Ibaraki pref.,"Mito city, Hitachi city, Hitachiota city, Takahagi city, Kitaibaraki city, Kasama city, Hitachinaka city, Hitachiomiya city, Naka city, Omitama city, Higashiibaraki city, Naka district, and Kuji district","préf. Ibaraki, Nord",,이바라키현 북부 ,,,,"pref. Ibaraki, Nord",
301,茨城県南部,土浦市、古河市、石岡市、結城市、龍ケ崎市、下妻市、常総市、取手市、牛久市、つくば市、鹿嶋市、潮来市、守谷市、筑西市、坂東市、稲敷市、かすみがうら市、桜川市、神栖市、行方市、鉾田市、つくばみらい市、稲敷郡、結城郡、猿島郡及び北相馬郡,Southern Ibaraki pref.,"Tsuchiura city, Koga city, Ishioka city, Yuki city, Ryugasaki city, Shimotsuma city, Joso city, Toride city, Ushiku city, Tsukuba city, Kashima city, Itako city, Moriya city, Chikusei city, Bando city, Inashiki city, Kasumigaura city, Sakuragawa city, Kamisu city, Namegata city, Hokota city, Tsukubamirai city, Inashiki district, Yuki district, Sashima district, and Kitasoma district","préf. Ibaraki, Sud","villes de Tsuchiura, Furukawa, Ishioka, Yûki, Ryûgasaki, Shimoduma, Tsunesô, Toride shi, Ushiku, Tsukuba, Kashima, Itako, Moriya, Chikusei, Bandô, Inashiki, Kasumigaura, Sakuragawa, Kamisu, Yukue, Hokoden et Tsukubamirai, districts de Inashiki, Yûki, Sashima et Kitasôma",이바라키현 남부 ,,,,"pref. Ibaraki, Sud","città di Tsuchiura, Furukawa, Ishioka, Yûki, Ryûgasaki, Shimoduma, Tsunesô, Toridi shi, Ushiku, Tsukuba, Kashima, Itako, Moriya, Chikusei, Bandô, Inashiki, Kasumigaura, Sakuragawa, Kamisu, Yukue, Hokodin e Tsukubamirai, distretti di Inashiki, Yûki, Sashima e Kitasôma"
309,千葉県南東沖,,SE off Chiba pref.,,SE large de Chiba,,치바현 남쪽 바다 ,,,,SE a largo di Chiba,
310,栃木県北部,日光市、大田原市、矢板市、那須塩原市、塩谷郡塩谷町及び那須郡那須町,Northern Tochigi pref.,"Nikko city, Otawara city, Yaita city, Nasushiobara city, Shioya in Shioya district, and Nasu in Nasu district","préf. Tochigi, Nord","viles de Nikkô, Ôtawara, Yaita et Nasushiobara, et villages de Shioya dans le district de Shioya et Nasu dans le district de Nasu",토치 기현 북부 ,,,,"pref. Tochigi, Nord","città di Nikkô, Ôtawara, Yaita e Nasushiobara, e villaggi di Shioya dentro il distretto di Shioya e Nasu dentro il distretto di Nasu"
311,栃木県南部,宇都宮市、足利市、栃木市、佐野市、鹿沼市、小山市、真岡市、さくら市、那須烏山市、下野市、河内郡、上都賀郡、芳賀郡、下都賀郡、塩谷郡高根沢町及び那須郡那珂川町,Southern Tochigi pref.,"Utsunomiya city, Ashikaga city, Tochigi city, Sano city, Kanuma city, Oyama city, Maoka city, Sakura city, Nasukarasuyama city, Shimotsuke city, Kawachi district, Kamitsuga district, Haga district, Shimotsuga district, Takanezawa in Shioya district, and Nakagawa in Nasu district","préf. Tochigi, Sud","villes de Utsunomiya, Ashikaga, Tochigi, Sano, Kanuma, Oyama, Shinoka, Sakura, Nasu-uzan et Shitano, districts de Kawachi, Kamitsuga, Haga gun et Shimotsuga, villages de Takanezawa dans le district de Shioya et Nakagawa dans le district de Nasu",토치 기현 남부 ,,,,"pref. Tochigi, Sud","città di Utsunomiya, Ashikaga, Tochigi, Sano, Kanuma, Oyama, Shinoka, Sakura, Nasu-uzan e Shitano, distretti di Kawachi, Kamitsuga, Haga gun e Shimotsuga, villaggi di Takanezawa dentro il distretto di Shioya e Nakagawa dentro il distretto di Nasu"
320,群馬県北部,沼田市、吾妻郡及び利根郡,Northern Gunma pref.,"Numata city, Agatsuma district, and Tone district","préf. Gunma, Nord",ville de Numata et districts de Azuma et Tone,군마현 북부 ,,,,"pref. Gunma, Nord",città di Numata e distretti di Azuma e Tone
321,群馬県南部,前橋市、高崎市、桐生市、伊勢崎市、太田市、館林市、渋川市、藤岡市、富岡市、安中市、みどり市、北群馬郡、多野郡、甘楽郡、佐波郡及び邑楽郡,Southern Gunma pref.,"Maebashi city, Takasaki city, Kiryu city, Isezaki city, Ota city, Tatebayashi city, Shibukawa city, Fujioka city, Tomioka city, Annaka city, Midori city, Kitagunma district, Tano district, Kanra district, Sawa district, and Ora district","préf. Gunma, Sud","villes de Maebashi, Takasaki, Kiryuu, Isezaki, Ôta, Tatebayashi, Shibukawa, Fujioka, Tomioka, Yasunaka et Midori, districts de Kitagunma, Tano, Kanra, Saba et Ôra",군마 현 남부 ,,,,"pref. Gunma, Sud","città di Maebashi, Takasaki, Kiryuu, Isezaki, Ôta, Tatebayashi, Shibukawa, Fujioka, Tomioka, Yasunaka e Midori, distretti di Kitagunma, Tano, Kanra, Saba e Ôra"
330,埼玉県北部,熊谷市、行田市、加須市、本庄市、東松山市、羽生市、鴻巣市、深谷市、久喜市、比企郡（川島町を除く。）、秩父郡東秩父村、児玉郡及び大里郡,Northern Saitama,"Kumagawa city, Gyoda city, Kazo city, Honjo city, Higashimatsuyama city, Hanyu city, Konosu city, Fukaya city, Kuki city, Hiki district (except Kawashima), Higashichichibu in Chichibu district, Kodama district, and Osato district","préf. Saitama, Nord","villes de Kumagaya, Gyôda, Kazo, Honjô, Higashimatsuyama, Habu, Kônosu, Fukaya et Kuki, districts de Hiki (excepté Kawashima), Kodama et Ôsato, village de Higashichichibu dans le district de Chichibu",사이 타마 현 북부 ,,,,"pref. Saitama, Nord","città di Kumagaya, Gyôda, Kazo, Honjô, Higashimatsuyama, Habu, Kônosu, Fukaya e Kuki, distretti di Hiki (eccetto Kawashima), Kodama e Ôsato, villaggio di Higashichichibu dentro il distretto di Chichibu"
331,埼玉県南部,さいたま市、川越市、川口市、所沢市、飯能市、春日部市、狭山市、上尾市、草加市、越谷市、蕨市、戸田市、入間市、鳩ケ谷市、朝霞市、志木市、和光市、新座市、桶川市、北本市、八潮市、富士見市、三郷市、蓮田市、坂戸市、幸手市、鶴ヶ島市、日高市、吉川市、ふじみ野市、北足立郡、入間郡、比企郡川島町、南埼玉郡及び北葛飾郡,Southern Saitama,"Saitama city, Kawagoe city, Kawaguchi city, Tokorozawa city, Hanno city, Kasukabe city, Sayama city, Ageo city, Soka city, Koshigaya city, Warabi city, Toda city, Iruma city, Hatogaya city, Asaka city, Shiki city, Wako city, Niiza city, Okegawa city, Kitamoto city, Yashio city, Fujimi city, Misato city, Hasuda city, Sakado city, Satte city, Tsurugashima city, Hidaka city, Yoshikawa city, Fujimino city, Kitaadachi district, Iruma district, Kawashima in Hiki district, Minamisaitama district, and Kitakatsushika district","préf. Saitama, Sud","villes de Saitama, Kawagoe, Kawaguchi, Tokorozawa, Hannô, Kasukabe, Sayama, Ageo, Sôka, Koshigaya, Warabi, Toda, Iruma, Hatogaya, Asaka, Shiki, Wakou, Niiza, Okegawa, Kitamoto, Yashio, Fujimi, Misato, Hasuda, Sakado, Satte, Tsurugashima, Hidaka, Yoshikawa et Fujimino, districts de Kitaadachi, Iruma, Minamisaitama et Kitakatsushika, village de Kawajima dans le district de Hiki",사이 타마현 남부 ,,,,"pref. Saitama, Sud","città di Saitama, Kawagoe, Kawaguchi, Tokorozawa, Hannô, Kasukabe, Sayama, Ageo, Sôka, Koshigaya, Warabi, Toda, Iruma, Hatogaya, Asaka, Shiki, Wakou, Niiza, Okegawa, Kitamoto, Yashio, Fujimi, Misato, Hasuda, Sakado, Satte, Tsurugashima, Hidaka, Yoshikawa e Fujimino, distretti di Kitaadachi, Iruma, Minamisaitama e Kitakatsushika, villaggio di Kawajima dentro il distretto di Hiki"
332,埼玉県秩父,秩父市及び秩父郡（東秩父村を除く。）,Chichibu Saitama pref.,Chichibu city and Chichibu district (except Higashichichibu),"préf. Saitama, Chichibu",ville de Chichibu et district de Chichibu (excepté Higashichichibu),사이 타마현 치치 ,,,,"pref. Saitama, Chichibu",città di Chichibu e distretto di Chichibu (eccetto Higashichichibu)
340,千葉県北東部,銚子市、茂原市、東金市、旭市、匝瑳市、香取市、山武市、香取郡、山武郡及び長生郡,NE Chiba pref.,"Choshi city, Mobara city, Togane city, Asahi city, Sosa city, Katori city, Sanmu city, Katori district, Sanmu district, and Chosei district","préf. Chiba, NE","Chôshi, Mohara, Higashikana, Asahi, Sôsa, Kandori et Sanbu, districts de Kandori, Sanbu et Chôsei",치바현 북동부 ,,,,"pref. Chiba, NE","Chôshi, Mohara, Higashikana, Asahi, Sôsa, Kandori e Sanbu, distretti di Kandori, Sanbu e Chôsei"
341,千葉県北西部,千葉市、市川市、船橋市、松戸市、野田市、成田市、佐倉市、習志野市、柏市、市原市、流山市、八千代市、我孫子市、鎌ヶ谷市、浦安市、四街道市、八街市、印西市、白井市、富里市及び印旛郡,NW Chiba pref.,"Chiba city, Ichikawa city, Funabashi city, Matsudo city, Noda city, Narita city, Sakura city, Narashino city, Kashiwa city, Ichihara city, Nagareyama city, Yachiyo city, Abiko city, Kamagaya city, Urayasu city, Yotsukaido city, Yachimata city, Inzai city, Shiroi city, Tomisato city, and Inba district","préf. Chiba, NW","villes de Chiba, Ichikawa, Funabashi, Matsudo, Noda, Narita, Sakura, Narashino, Kashiwa, Ichihara, Nagareyama, Yachiyo, Abiko, Kamagaya, Urayasu, Yotsukaidou, Yamachi, Inzai, Shirai et Fusato, district d'Inba",치바현 북서부 ,,,,"pref. Chiba, NW","città di Chiba, Ichikawa, Funabashi, Matsudo, Noda, Narita, Sakura, Narashino, Kashiwa, Ichihara, Nagareyama, Yachiyo, Abiko, Kamagaya, Urayasu, Yotsukaidou, Yamachi, Inzai, Shirai e Fusato, distretto d'Inba"
342,千葉県南部,館山市、木更津市、勝浦市、鴨川市、君津市、富津市、袖ヶ浦市、南房総市、いすみ市、夷隅郡及び安房郡,Southern Chiba pref.,"Tateyama city, Kisarazu city, Katsuura city, Kamogawa city, Kimitsu city, Tomitsu city, Futtsu city, Sodegaura city, Minamiboso city, Isumi city, Isumi district, and Awa district","préf. Chiba, Sud","villes de Tateyama, Kisaradu, Kachiura, Kamogawa, Kimitsu, Futtsu, Sodegaura, Minamibôsô et Isumi, districts d'Isumi et Awa",지바현 남부 ,,,,"pref. Chiba, Sud","città di Tateyama, Kisaradu, Kachiura, Kamogawa, Kimitsu, Futtsu, Sodigaura, Minamibôsô e Isumi, distretti d'Isumi e Awa"
349,房総半島南方沖,,S off Boso peninsula,,S large de Boso,,보소 반도 남쪽 바다 ,,,,S a largo di Boso,
350,東京都２３区,千代田区、中央区、港区、新宿区、文京区、台東区、墨田区、江東区、品川区、目黒区、大田区、世田谷区、渋谷区、中野区、杉並区、豊島区、北区、荒川区、板橋区、練馬区、足立区、葛飾区及び江戸川区,23 wards of Tokyo,"Chiyoda ward, Chuo ward, Minato ward, Shinjuku ward, Bunkyo ward, Taito ward, Sumida ward, Koto ward, Shinagawa ward, Meguro ward, Ota ward, Setagaya ward, Shibuya ward, Nakano ward, Suginami ward, Toshima ward, Kita ward, Arakawa ward, Itabashi ward, Nerima ward, Adachi ward, Katushika ward, and Edogawa ward","préf. Tokyo, 23 arr.","arrondissements de Chiyoda, Chuo, Minato, Shinjuku, Bunkyo, Taito, Sumida, Koto, Shinagawa, Meguro, Ota, Setagaya, Shibuya, Nakano, Suginami, Toshima, Kita, Arakawa, Itabashi, Nerima, Adachi, Katsushika et Edogawa",도쿄도 23 구 ,,,,"pref. Tokyo, 23 arr.","divisioni di Chiyoda, Chuo, Minato, Shinjuku, Bunkyo, Taito, Sumida, Koto, Shinagawa, Meguro, Ota, Seagaya, Shibuya, Nakano, Suginami, Toshima, Kita, Arakawa, Itabashi, Nerima, Adachi, Katsushika e Edogawa"
351,東京都多摩東部,八王子市、立川市、武蔵野市、三鷹市、府中市、昭島市、調布市、町田市、小金井市、小平市、日野市、東村山市、国分寺市、国立市、福生市、狛江市、東大和市、清瀬市、東久留米市、武蔵村山市、多摩市、稲城市、羽村市、西東京市及び西多摩郡瑞穂町,Eastern Tama Tokyo pref.,"Hachioji city, Tachikawa city, Musashino city, Mitaka city, Fuchu city, Akishima city, Chofu city, Machida city, Koganei city, Kodaira city, Hino city, Higashimurayama city, Kokubunji city, Kunitachi city, Fussa city, Komae city, Higashiyamato city, Kiyose city, Higashikurume city, Musashimurayama city, Tama city, Inagi city, Hamura city, Nishitokyo city, and Mizuho in Nishitama district","préf. Tokyo, Tama Est","villes de Hachiôji, Tatsukawa, Musashino, Mitaka, Fuchû, Akishima, Chôfu, Machida, Koganei, Kodaira, Hino, Higashimurayama, Kokubunji, Kokuritsu, Fussa, Komae, Higashiyamato, Kiyose, Higashikurume, Musashimurayama, Tama, Inagi, Hamura, Nishitôkyô, village de Mizuho dans le district de Nishitama",도쿄도 타마 동부 ,,,,"pref. Tokyo, Tama Est","città di Hachiôji, Tatsukawa, Musashino, Mitaka, Fuchû, Akishima, Chôfu, Machida, Koganei, Kodaira, Hino, Higashimurayama, Kokubunji, Kokuritsu, Fussa, Komae, Higashiyamato, Kiyose, Higashikurume, Musashimurayama, Tama, Inagi, Hamura, Nishitôkyô, villaggio di Mizuho dentro il distretto di Nishitama"
352,東京都多摩西部,青梅市、あきる野市及び西多摩郡（瑞穂町を除く。）,Western Tama Tokyo pref.,"Ome city, Akiruno city, and Nishitama district (except Mizuho)","préf. Tokyo, Tama Ouest","villes d'Ôme et Akiruno, district de Nishitama (excepté Mizuho)",도쿄도 타마 서쪽 ,,,,"pref. Tokyo, Tama Ovest","città d'Ôme e Akiruno, distretto di Nishitama (eccetto Mizuho)"
354,神津島,神津島村,Kamitsu island,Kozushima,île Kamitsu,village de Kôzushima,카미츠 섬,,,,isola Kamitsu,villaggio di Kôzushima
355,伊豆大島,大島町,Izuooshima island,Oshima,île Izuooshima,village d'Ôshima,이즈 오시마 ,,,,isola Izuooshima,villaggio d'Ôshima
356,新島,利島村及び新島村,Niijima island,Toshima and Niijima,île Niijima,villages de Toshima et Niijima,니이지마 ,,,,isola Niijima,villaggi di Toshima e Niijima
357,三宅島,三宅村及び御蔵島村,Miyakejima island,Miyake and Mikurajima,île Miyakejima,villages de Miyake et Mikurajima,미야케 지마 ,,,,isola Miyakejima,villaggi di Miyake e Mikurajima
358,八丈島,八丈町及び青ヶ島村,Hachijyojima island,Hachijo and Aogashima,île Hachijyojima,villages de Hachijou et Aogashima,하치 죠 지마 ,,,,isola Hachijyojima,villaggi di Hachijou e Aogashima
359,小笠原,小笠原村,Ogasawara,Ogasawara,Ogasawara,village d'Ogasawara,오가 사 와라 ,,,,Ogasawara,villaggio d'Ogasawara
360,神奈川県東部,横浜市、川崎市、横須賀市、平塚市、鎌倉市、藤沢市、茅ヶ崎市、逗子市、三浦市、大和市、海老名市、座間市、綾瀬市、三浦郡、高座郡及び中郡,Eastern Kanagawa pref.,"Yokohama city, Kawasaki city, Yokosuka city, Hiratsuka city, Kamakura city, Fujisawa city, Chigasaki city, Zushi city, Miura city, Yamato city, Ebina city, Zama city, Ayase city, Miura district, Koza district, and Naka district","préf. Kanagawa, Est","villes de Yokohama, Kawasaki, Yokosuka, Hiratsuka, Kamakura, Fujisawa, Chigasaki, Zushi, Miura, Yamato, Ebina, Zama et Ayase, districts de Miura, Kôza et Naka",가나 가와현 동부 ,,,,"pref. Kanagawa, Est","città di Yokohama, Kawasaki, Yokosuka, Hiratsuka, Kamakura, Fujisawa, Chigasaki, Zushi, Miura, Yamato, Ebina, Zama e Ayase, distretti di Miura, Kôza e Naka"
361,神奈川県西部,小田原市、相模原市、秦野市、厚木市、伊勢原市、南足柄市、足柄上郡、足柄下郡及び愛甲郡,Western Kanagawa pref.,"Odawara city, Sagamihara city, Hadano city, Atsugi city, Isehara city, Minamiashigara city, Ashigarakami district, Ashigarashimo district, and Aiko district","préf. Kanagawa, Ouest","villes d'Odawara, Sagamihara, Hadano, Atsugi, Isehara et Minamiashigara, districts d'Ashigarakami, Ashigarashimo et Aikô",카나 가와현 서부 ,,,,"pref. Kanagawa, Ovest","città d'Odawara, Sagamihara, Hadano, Atsugi, Isehara e Minamiashigara, distretti d'Ashigarakami, Ashigarashimo e Aikô"
370,新潟県上越,糸魚川市、妙高市及び上越市,Joetsu Niigata pref.,"Itoigawa city, Myoko city, and Joetsu city","préf. Niigata, Joetsu","villes de Itoigawa, Myôkô et Jôetsu",니이가타 현 조에쓰 ,,,,"pref. Niigata, Joesu","città di Itoigawa, Myôkô e Jôesu"
371,新潟県中越,長岡市、三条市、柏崎市、小千谷市、加茂市、十日町市、見附市、魚沼市、南魚沼市、南蒲原郡、三島郡、南魚沼郡、中魚沼郡及び刈羽郡,Chuetsu Niigata pref.,"Nagaoka city, Sanjo city, Kashiwazaki city, Ojiya city, Kamo city, Tokamachi city, Mitsuke city, Uonuma city, Minamiuonuma city, Minamikanbara district, Mishima district, Minamiuonuma district, Nakauonuma district, and Kariwa district","préf. Niigata, Chuetsu","villes de Nagaoka, Sanjô, Kashiwazaki, Ojiya, Kamo, Tôkamachi, Mitsuke, Uonuma, Minamiuonuma, districts de Minamikanbara, Mishima, Minamiuonuma, Nakauonuma et Kariwa",니가타현 나카 고 ,,,,"pref. Niigata, Chuesu","città di Nagaoka, Sanjô, Kashiwazaki, Ojiya, Kamo, Tôkamachi, Mitsuke, Uonuma, Minamiuonuma, distretti di Minamikanbara, Mishima, Minamiuonuma, Nakauonuma e Kariwa"
372,新潟県下越,新潟市、新発田市、村上市、燕市、五泉市、阿賀野市、胎内市、北蒲原郡、西蒲原郡、東蒲原郡及び岩船郡,Kaetsu Niigata pref.,"Niigata city, Shibata city, Murakami city, Tsubame city, Gosen city, Agano city, Tainai city, Kitakanbara district, Nishikanbara district, Higashikanbara district, and Iwafune district","préf. Niigata, Kaetsu","villes de Niigata, Shibata, Murakami, Tsubame, Gosen, Agano, Tainai, districts de Kitakanbara, Nishikanbara, Higashikanbara, Iwafune",니가타현 카에츠,,,,"pref. Niigata, Kaesu","città di Niigata, Shibata, Murakami, Tsubame, Gosen, Agano, Tainai, distretti di Kitakanbara, Nishikanbara, Higashikanbara, Iwafune"
375,新潟県佐渡,佐渡市,Sado Niigata pref.,Sado city,"préf. Niigata, Sado",ville de Sado,니가타현 사도 ,,,,"pref. Niigata, Sado",città di Sado
378,新潟県下越沖,,Off Kaetsu Niigata pref.,,"large de Niigata, Kaetsu",,니가타현 카에츠 바다 ,,,,"a largo di Niigata, Kaesu",
379,新潟県上中越沖,,Off Jouchuuetsu Niigata pref.,,"large de Niigata, Joetsu",,니가타현 주추우에츠 바다 ,,,,"a largo di Niigata, Joesu",
380,富山県東部,富山市、魚津市、滑川市、黒部市、中新川郡及び下新川郡,Eastern Toyama pref.,"Toyama city, Uozu city, Namerikawa city, Kurobe city, Nakaniikawa district, and Shimoniikawa district","préf. Toyama, Est","villes de Toyama, Uodu, Namerikawa et Kurobe, districts de Nakaniikawa et Shimoniikawa",도야마현 동부 ,,,,"pref. Toyama, Est","città di Toyama, Uodu, Namareikawa e Kurobe, distretti di Nakaniikawa e Shimoniikawa"
381,富山県西部,高岡市、氷見市、砺波市、小矢部市、南砺市及び射水市,Western Toyama pref.,"Takaoka city, Himi city, Tonami city, Oyabe city, Nanto city, and Imizu city","préf. Toyama, Ouest","villes de Takaoka, Himi, Tonami, Oyabe, Nanto et Imizu",토야마현 서부 ,,,,"pref. Toyama, Ovest","città di Takaoka, Himi, Tonami, Oyabe, Nanto e Imizu"
390,石川県能登,七尾市、輪島市、珠洲市、羽咋市、羽咋郡、鹿島郡及び鳳珠郡,Noto Ishikawa pref.,"Nanao city, Wajima city, Suzu city, Hakui city, Hakui district, Kashima district, and Hosu district","préf. Ishikawa, Noto","villes de Nanao, Wajima, Suzu, Hakui, districts de Hakui, Kashima et Hôsu",이시카와현 노토 ,,,,"pref. Ishikawa, Noto","città di Nanao, Wajima, Suzu, Hakui, distretti di Hakui, Kashima e Hôsu"
391,石川県加賀,金沢市、小松市、加賀市、かほく市、白山市、能美市、能美郡、石川郡及び河北郡,Kaga Ishikawa pref.,"Kanazawa city, Komatsu city, Kaga city, Kahoku city, Hakusan city, Nomi city, Nomi district, Ishikawa district, and Kahoku district","préf. Ishikawa, Kaga","villes de Kanazawa, Komatsu, Kaga, Kahoku, Hakusan, Nomi, districts de Nomi, Ishikawa, Kahoku",이시카와현 가가 ,,,,"pref. Ishikawa, Kaga","città di Kanazawa, Komatsu, Kaga, Kahoku, Hakusan, Nomi, distretti di Nomi, Ishikawa, Kahoku"
400,福井県嶺北,福井市、大野市、勝山市、鯖江市、あわら市、越前市、坂井市、吉田郡、今立郡、南条郡及び丹生郡,Reihoku Fukui pref.,"Fukui city, Ono city, Katsuyama city, Sabae city, Arawa city, Echizen city, Sakai city, Yoshida district, Imadate district, Nanjo district, and Nyu district","préf. Fukui, Reihoku","villes de Fukui, Ôno, Katsuyama, Sabae, Awara, Etsuzen et Sakai, districts de Yoshida, Imadachi, Minamijô et Nyû",후쿠이현 영남 북부 ,,,,"pref. Fukui, Reihoku","città di Fukui, Ôno, Katsuyama, Sabae, Awara, esuzen e Sakai, distretti di Yoshida, Imadachi, Minamijô e Nyû"
401,福井県嶺南,敦賀市、小浜市、三方郡、大飯郡及び三方上中郡,Reinan Fukui pref.,"Tsuruga city, Obama city, Mitaka district, Oi district, and Mitakakaminaka district","préf. Fukui, Reinan","villes de Tsuruga et Obama, districts de Mikata, Ôi, et Mikatakaminaka",후쿠이현 영남 ,,,,"pref. Fukui, Reinan","città di Tsuruga e Obama, distretti di Mikata, Ôi, e Mikatakaminaka"
411,山梨県中・西部,甲府市、山梨市、韮崎市、南アルプス市、北杜市、甲斐市、笛吹市、甲州市、中央市、西八代郡、南巨摩郡及び中巨摩郡,Mid-western Yamanashi pref.,"Kofu city, Yamanashi city, Nirasaki city, Minami alps city, Hokuto city, Kai city, Fuefuki city, Koshu city, Chuo city, Nishiyatsushiro city, Minamikoma district and Nakakoma district","préf. Yamanashi, Centre Ouest","villes de Kôfu, Yamanashi, Nirasaki, Minami-Alps, Kitamori, Kaino, Fuefuki, Kôshû et Chûô, districts de Nishiyatsushiro, Minamikoma et Nakakoma",야마나 시현에서 서쪽 ,,,,"pref. Yamanashi, Centro Ovest","città di Kôfu, Yamanashi, Nirasaki, Minami-Alps, Kitamori, Kaino, Fuefuki, Kôshû e Chûô, distretti di Nishiyatsushiro, Minamikoma e Nakakoma"
412,山梨県東部・富士五湖,富士吉田市、都留市、大月市、上野原市、南都留郡及び北都留郡,Eastern Yamanashi pref./Fuji five lakes,"Fujiyoshida city, Tsuru city, Otsuki city, Uenohara city, Minamitsuru district, and Kitatsuru district","préf. Yamanashi, Est et Lacs","villes de Fujiyoshida, Tsuru, Ōtsuki, Uenohara, districts de Minamitsuru et Kitatsuru",야마나시 현 동부/후지 호수 ,,,,"pref. Yamanashi, Est e Lacs","città di Fujiyoshida, Tsuru, Ōtsuki, Uenohara, distretti di Minamitsuru e Kitatsuru"
